Algorithm,Size,SubOption,Threads,Run_Index,Time_Sec,GFlops
2,8192,2,4,1,115.373,9.530060133445433
2,8192,2,4,2,114.991,9.561718984755329
2,8192,2,8,1,87.053,12.630370323550022
2,8192,2,8,2,88.191,12.46739041144788
2,8192,2,12,1,70.762,15.538164944122551
2,8192,2,12,2,70.533,15.588612816355464
2,8192,2,16,1,65.899,16.684799887342752
2,8192,2,16,2,66.298,16.584386071616038
2,8192,2,20,1,66.702,16.483937929537344
2,8192,2,20,2,67.371,16.32025096519274
2,8192,2,24,1,62.59,17.566889723214572
2,8192,2,24,2,62.318,17.64356410308418
2,8192,2,4,1,98.145,11.202930641153396
2,8192,2,4,2,102.359,10.741719123633485
2,8192,2,8,1,75.647,14.534768434650415
2,8192,2,8,2,75.626,14.538804482268002
2,8192,2,12,1,63.743,17.249135242709002
2,8192,2,12,2,65.127,16.882577545042764
2,8192,2,16,1,58.07,18.934245355192008
2,8192,2,16,2,58.345,18.84500176152198
2,8192,2,20,1,57.979,18.963963293192364
2,8192,2,20,2,57.819,19.016441442709144
2,8192,2,24,1,56.762,19.370558256861987
2,8192,2,24,2,56.356,19.51010766867769
2,8192,3,4,1,99.862,11.010310506258637
2,8192,3,4,2,99.657,11.032959328255918
2,8192,3,8,1,73.982,14.861880292179178
2,8192,3,8,2,74.482,14.762112024059505
2,8192,3,12,1,62.908,17.478089078908884
2,8192,3,12,2,64.489,17.049599587154397
2,8192,3,16,1,55.826,19.695332421738975
2,8192,3,16,2,55.215,19.913277692221317
2,8192,3,20,1,56.752,19.373971450803495
2,8192,3,20,2,57.021,19.28257357422704
2,8192,3,24,1,53.311,20.62447952159967
2,8192,3,24,2,52.414,20.977441671614454
2,8192,4,4,1,98.773,11.131702264545979
2,8192,4,4,2,98.056,11.213098920779963
2,8192,4,8,1,74.338,14.79070768349969
2,8192,4,8,2,74.72,14.715091378158458
2,8192,4,12,1,63.768,17.242372785346884
2,8192,4,12,2,63.726,17.25373674443712
2,8192,4,16,1,54.433,20.199357517976228
2,8192,4,16,2,55.238,19.90498620109345
2,8192,4,20,1,58.689,18.73454357334424
2,8192,5,4,1,280.338,3.922092715850152
2,8192,5,4,2,272.987,4.027706915626019
2,8192,5,8,1,369.677,2.9742494874606753
2,8192,5,8,2,358.636,3.065814998427375
2,8192,5,12,1,486.921,2.258090383811748
2,8192,5,12,2,479.765,2.2917712375350434
